;Scopy version,438f138
;Exported on,Thursday September 25/09/2025
;Device,M2K
;Nr of samples,1600
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
176,-0.0624,-2.57964,-0.0597199
177,-0.0623,-2.57964,-0.0597199
178,-0.0622,-2.57964,-0.0597199
179,-0.0621,-2.57964,-0.0597199
180,-0.062,-2.57964,-0.0597199
181,-0.0619,-2.57964,-0.0597199
182,-0.0618,-2.57964,-0.0597199
183,-0.0617,-2.57964,-0.0597199
184,-0.0616,-2.57964,-0.0597199
185,-0.0615,-2.57964,-0.0597199
186,-0.0614,-2.57964,-0.0597199
187,-0.0613,-2.57964,-0.0597199
188,-0.0612,-2.57964,-0.0597199
189,-0.0611,-2.57964,-0.0597199
190,-0.061,-2.57964,-0.0597199
191,-0.0609,-2.57964,-0.0597199
192,-0.0608,-2.57964,-0.0597199
193,-0.0607,-2.57964,-0.0597199
194,-0.0606,-2.57964,-0.0597199
195,-0.0605,-2.57964,-0.0597199
196,-0.0604,-2.57964,-0.0597199
197,-0.0603,-2.57964,-0.0597199
198,-0.0602,-2.57964,-0.0597199
199,-0.0601,-2.57964,-0.0597199
200,-0.06,-2.57964,-0.0597199
201,-0.0599,-2.57964,-0.0597199
202,-0.0598,-2.57964,-0.0597199
203,-0.0597,-2.57964,-0.0597199
204,-0.0596,-2.57964,-0.0597199
205,-0.0595,-2.57964,-0.0597199
206,-0.0594,-2.57964,-0.0597199
207,-0.0593,-2.57964,-0.0597199
208,-0.0592,-2.57964,-0.0597199
209,-0.0591,-2.57964,-0.0597199
210,-0.059,-2.57964,-0.0597199
211,-0.0589,-2.57964,-0.0597199
212,-0.0588,-2.57964,-0.0597199
213,-0.0587,-2.57964,-0.0597199
214,-0.0586,-2.57964,-0.0597199
215,-0.0585,-2.57964,-0.0597199
216,-0.0584,-2.57964,-0.0597199
217,-0.0583,-2.57964,-0.0597199
218,-0.0582,-2.57964,-0.0597199
219,-0.0581,-2.57964,-0.0597199
220,-0.058,-2.57964,-0.0597199
221,-0.0579,-2.57964,-0.0597199
222,-0.0578,-2.57964,-0.0597199
223,-0.0577,-2.57964,-0.0597199
224,-0.0576,-2.57964,-0.0597199
225,-0.0575,-2.57964,-0.0597199
226,-0.0574,-2.57964,-0.0597199
227,-0.0573,-2.57964,-0.0597199
228,-0.0572,-2.57964,-0.0597199
229,-0.0571,-2.57964,-0.0597199
230,-0.057,-2.57964,-0.0597199
231,-0.0569,-2.57964,-0.0597199
232,-0.0568,-2.57964,-0.0597199
233,-0.0567,-2.57964,-0.0597199
234,-0.0566,-2.57964,-0.0597199
235,-0.0565,-2.57964,-0.0597199
236,-0.0564,-2.57964,-0.0597199
237,-0.0563,-2.57964,-0.0597199
238,-0.0562,-2.57964,-0.0597199
239,-0.0561,-2.57964,-0.0597199
240,-0.056,-2.57964,-0.0597199
241,-0.0559,-2.57964,-0.0597199
242,-0.0558,-2.57964,-0.0597199
243,-0.0557,-2.57964,-0.0597199
244,-0.0556,-2.57964,-0.0597199
245,-0.0555,-2.57964,-0.0597199
246,-0.0554,-2.57964,-0.0597199
247,-0.0553,-2.57964,-0.0597199
248,-0.0552,-2.57964,-0.0597199
249,-0.0551,-2.57964,-0.0597199
250,-0.055,-2.57964,-0.0597199
251,-0.0549,-2.57964,-0.0597199
252,-0.0548,-2.57964,-0.0597199
253,-0.0547,-2.57964,-0.0597199
254,-0.0546,-2.57964,-0.0597199
255,-0.0545,-2.57964,-0.0597199
256,-0.0544,-2.57964,-0.0597199
257,-0.0543,-2.57964,-0.0597199
258,-0.0542,-2.57964,-0.0597199
259,-0.0541,-2.57964,-0.0597199
260,-0.054,-2.57964,-0.0597199
261,-0.0539,-2.57964,-0.0597199
262,-0.0538,-2.57964,-0.0597199
263,-0.0537,-2.57964,-0.0597199
264,-0.0536,-2.57964,-0.0597199
265,-0.0535,-2.57964,-0.0597199
266,-0.0534,-2.57964,-0.0597199
267,-0.0533,-2.57964,-0.0597199
268,-0.0532,-2.57964,-0.0597199
269,-0.0531,-2.57964,-0.0597199
270,-0.053,-2.57964,-0.0597199
271,-0.0529,-2.57964,-0.0597199
272,-0.0528,-2.57964,-0.0597199
273,-0.0527,-2.57964,-0.0597199
274,-0.0526,-2.57964,-0.0597199
275,-0.0525,-2.57964,-0.0597199
276,-0.0524,-2.57964,-0.0597199
277,-0.0523,-2.57964,-0.0597199
278,-0.0522,-2.57964,-0.0597199
279,-0.0521,-2.57964,-0.0597199
280,-0.052,-2.57964,-0.0597199
281,-0.0519,-2.57964,-0.0597199
282,-0.0518,-2.57964,-0.0597199
283,-0.0517,-2.57964,-0.0597199
284,-0.0516,-2.57964,-0.0597199
285,-0.0515,-2.57964,-0.0597199
286,-0.0514,-2.57964,-0.0597199
287,-0.0513,-2.57964,-0.0597199
288,-0.0512,-2.57964,-0.0597199
289,-0.0511,-2.57964,-0.0597199
290,-0.051,-2.57964,-0.0597199
291,-0.0509,-2.57964,-0.0597199
292,-0.0508,-2.57964,-0.0597199
293,-0.0507,-2.57964,-0.0597199
294,-0.0506,-2.57964,-0.0597199
295,-0.0505,-2.57964,-0.0597199
296,-0.0504,-2.57964,-0.0597199
297,-0.0503,-2.57964,-0.0597199
298,-0.0502,-2.57964,-0.0597199
299,-0.0501,-2.57964,-0.0597199
300,-0.05,-2.57964,-0.0422899
301,-0.0499,-2.52735,-0.0248599
302,-0.0498,-1.34211,1.14295
303,-0.0497,2.71908,3.47856
304,-0.0496,2.37048,1.85758
305,-0.0495,2.38791,1.12552
306,-0.0494,2.38791,0.654909
307,-0.0493,2.38791,0.393459
308,-0.0492,2.38791,0.21916
309,-0.0491,2.38791,0.11458
310,-0.049,2.38791,0.0448599
311,-0.0489,2.38791,0.0448599
312,-0.0488,2.38791,0.01
313,-0.0487,2.38791,0.01
314,-0.0486,2.38791,-0.0422899
315,-0.0485,2.38791,-0.0422899
316,-0.0484,2.38791,-0.0422899
317,-0.0483,2.38791,-0.0422899
318,-0.0482,2.38791,-0.0422899
319,-0.0481,2.38791,-0.0597199
320,-0.048,2.38791,-0.0597199
321,-0.0479,2.38791,-0.0597199
322,-0.0478,2.38791,-0.0597199
323,-0.0477,2.38791,-0.0597199
324,-0.0476,2.38791,-0.0597199
325,-0.0475,2.38791,-0.0597199
326,-0.0474,2.38791,-0.0597199
327,-0.0473,2.38791,-0.0597199
328,-0.0472,2.38791,-0.0597199
329,-0.0471,2.38791,-0.0597199
330,-0.047,2.38791,-0.0597199
331,-0.0469,2.38791,-0.0597199
332,-0.0468,2.38791,-0.0597199
333,-0.0467,2.38791,-0.0597199
334,-0.0466,2.38791,-0.0597199
335,-0.0465,2.38791,-0.0597199
336,-0.0464,2.38791,-0.0597199
337,-0.0463,2.40534,-0.0597199
338,-0.0462,2.40534,-0.0597199
339,-0.0461,2.38791,-0.0597199
340,-0.046,2.38791,-0.0597199
341,-0.0459,2.38791,-0.0597199
342,-0.0458,2.40534,-0.0597199
343,-0.0457,2.40534,-0.0597199
344,-0.0456,2.40534,-0.0597199
345,-0.0455,2.40534,-0.0597199
346,-0.0454,2.40534,-0.0597199
347,-0.0453,2.40534,-0.0597199
348,-0.0452,2.40534,-0.0597199
349,-0.0451,2.40534,-0.0597199
350,-0.045,2.40534,-0.0597199
351,-0.0449,2.40534,-0.0597199
352,-0.0448,2.40534,-0.0597199
353,-0.0447,2.40534,-0.0597199
354,-0.0446,2.40534,-0.0597199
355,-0.0445,2.40534,-0.0597199
356,-0.0444,2.42277,-0.0597199
357,-0.0443,2.38791,-0.0597199
358,-0.0442,2.40534,-0.0597199
359,-0.0441,2.40534,-0.0597199
360,-0.044,2.40534,-0.0597199
361,-0.0439,2.40534,-0.0597199
362,-0.0438,2.40534,-0.0597199
363,-0.0437,2.40534,-0.0597199
364,-0.0436,2.40534,-0.0597199
365,-0.0435,2.40534,-0.0597199
366,-0.0434,2.40534,-0.0597199
367,-0.0433,2.40534,-0.0597199
368,-0.0432,2.40534,-0.0597199
369,-0.0431,2.40534,-0.0597199
